FILE ID: 255118.p
TRUE = 1 | PRED = 0 | partner at goldman will make about $ 7 million to $ 8 million each this year , accord to people at the firm .
TRUE = 0 | PRED = 1 | sexual issue affect decision range from pregnancy policy to redesign aircraft carrier ( special berth and bathroom for woman ) to readiness for war .
TRUE = 1 | PRED = 0 | top banker , trader and salesperson at firm such as morgan stanley , merrill and donaldson , lufkin & jenrette inc. will earn $ 5 million or more , executive recruiter and investment banker say .
TRUE = 1 | PRED = 0 | banker and trader be n't the only one likely to see fat bonus this year as wall street profit surge to record level .
TRUE = 0 | PRED = 1 | pentagon lawyer be fight challenge to the `` do n't ask , do n't tell '' policy against homosexual .
TRUE = 0 | PRED = 1 | but UNK be still stumped when UNK come to solve one of UNK most basic problem : sex .
TRUE = 1 | PRED = 0 | goldman and other security firm can afford to be generous because UNK be on track to earn a record $ 12 billion in pre - tax profit this year .
TRUE = 1 | PRED = 0 | merrill lynch & co. , goldman and morgan stanley & co. each will earn more than $ 1 billion .
TRUE = 0 | PRED = 1 | american admiral and general like to boast that UNK carry around contingency plan for war , riot and even hurricane .
TRUE = 0 | PRED = 1 | america 's military have be deal with the consequence of sex since george washington worry about treat UNK troop for venereal disease .
TRUE = 1 | PRED = 0 | in an internal memo to employee last week , chairman jon corzine and vice chairman henry paulson say that year - end bonus for support staff will be 25 percent of salary , up from 20 percent last year .
TRUE = 1 | PRED = 0 | roar stock market and fall interest rate have propel wall street 's core business of stock and bond underwriting , sale and trading , merger and acquisition and asset management .
TRUE = 0 | PRED = 1 | UNK be not just the recent case of widespread rape and sexual harassment at army training center .
TRUE = 0 | PRED = 1 | the navy be still recover from the 1991 tailhook debacle where officer assault woman at a convention , and the embarrassment of have 36 woman on a repair ship come home pregnant from the persian gulf war .
TRUE = 0 | PRED = 1 | today UNK be force to address the issue not as a medical nuisance but as a threat to discipline and order .
TRUE = 1 | PRED = 0 | secretary and other support staff will share in the wealth , if pay practice at goldman sachs group lp , the big u.s investment banking partnership , be any indication .


FILE ID: 169049.p
TRUE = 0 | PRED = 0 | `` the priority be public safety so UNK need to make sure that UNK have a system that ensure public safety , '' schwartz say .
TRUE = 1 | PRED = 1 | most of the east coast will be cool and cloudy on saturday as wind from the east direct moisture inland .
TRUE = 1 | PRED = 1 | patchy drizzle will develop near the appalachians from georgia to upstate new york .
TRUE = 0 | PRED = 0 | michael o'keefe , president of the massachusetts district attorneys association , say prosecutor grapple with limited resource and difficult choice each time UNK have to decide whether to seek the return of someone who have fail to show up in court after be charge .
TRUE = 1 | PRED = 0 | meanwhile , coastal shower and mountain snow will reach the pacific northwest .
TRUE = 0 | PRED = 0 | UNK say the administration and the district attorney will look at who make the decision on whether someone should be seek nationwide , and how UNK be make .
TRUE = 1 | PRED = 1 | in the west , high pressure will keep most of the interior dry with temperature 5 degree to 15 degree below normal .
TRUE = 0 | PRED = 0 | kurt n. schwartz , the governor 's public safety undersecretary for law enforcement and fire service , say there be no statewide standard dictate who should be return to massachusetts .
TRUE = 1 | PRED = 0 | much milder air and rain will arrive from the west on sunday .
TRUE = 0 | PRED = 0 | as of last week , there be UNK outstanding warrant in massachusetts for people who have skip UNK criminal hearing , accord to court official .
TRUE = 1 | PRED = 0 | a few inch of snow will fall saturday in many spot from northwestern oklahoma to central iowa .
TRUE = 0 | PRED = 0 | massachusetts ' top prosecutor and governor deval patrick 's administration will scrutinize the state 's system of handle arrest warrant and consider statewide reform after david t. tavares jr. , a convict killer , jump bail in massachusetts and allegedly kill a newlywed couple in washington state last month .
TRUE = 0 | PRED = 0 | `` the priority be n't cost saving . ''
TRUE = 1 | PRED = 0 | as the front sweep east on saturday night , shower will change to locally heavy snow from eastern iowa to wisconsin .
TRUE = 1 | PRED = 1 | snow will develop in the wake of a cold front as UNK move east from the plains into the mississippi valley .
